Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer clip_vit_g_14_laion2b,True Label
n02105251\ILSVRC2012_val_00016146.JPEG,n03452741,n03452741,n03452741,n03452741,n03452741,n03452741,n13040303,n02105251
n02509815\ILSVRC2012_val_00021071.JPEG,n01532829,n01532829,n01532829,n01532829,n01532829,n01532829,n04070727,n02509815
n01689811\ILSVRC2012_val_00026526.JPEG,n02093256,n02093256,n02093256,n02093256,n02096437,n02391049,n04041544,n01689811
n02174001\ILSVRC2012_val_00023049.JPEG,n02791124,n02791124,n02791124,n02791124,n02791124,n02791124,n04041544,n02174001
n02497673\ILSVRC2012_val_00037940.JPEG,n02484975,n03680355,n03314780,n03584254,n04033995,n07831146,n02011460,n02497673
n02089973\ILSVRC2012_val_00038676.JPEG,n02398521,n02398521,n02398521,n02398521,n02398521,n01877812,n04070727,n02089973
n02174001\ILSVRC2012_val_00000692.JPEG,n02791124,n02791124,n02791124,n02791124,n02791124,n02791124,n04041544,n02174001
n02492035\ILSVRC2012_val_00044586.JPEG,n04154565,n04154565,n04154565,n04154565,n04154565,n04154565,n04041544,n02492035
n03729826\ILSVRC2012_val_00001441.JPEG,n02281406,n02281406,n02281406,n02281406,n02281406,n02281406,n03100240,n03729826
n01514859\ILSVRC2012_val_00014879.JPEG,n02417914,n02417914,n02417914,n02417914,n02417914,n02108915,n04081281,n01514859
n01806567\ILSVRC2012_val_00038736.JPEG,n02107683,n02107683,n02107683,n02107683,n02107683,n02107683,n04041544,n01806567
n07615774\ILSVRC2012_val_00019985.JPEG,n07613480,n07613480,n07613480,n07613480,n07613480,n03485794,n07715103,n07615774
n01614925\ILSVRC2012_val_00007712.JPEG,n02442845,n02442845,n02442845,n02442845,n02442845,n02071294,n07760859,n01614925
n04263257\ILSVRC2012_val_00040184.JPEG,n04357314,n04357314,n04357314,n04357314,n04548362,n04049303,n04070727,n04263257
n02526121\ILSVRC2012_val_00012727.JPEG,n02097298,n01558993,n01558993,n01558993,n01558993,n01807496,n02102040,n02526121
n03100240\ILSVRC2012_val_00027795.JPEG,n03271574,n03271574,n03271574,n03271574,n03271574,n03271574,n04070727,n03100240
n03929855\ILSVRC2012_val_00048281.JPEG,n02892201,n02892201,n02892201,n02892201,n02892201,n02892201,n02403003,n03929855
n03630383\ILSVRC2012_val_00030376.JPEG,n01984695,n01984695,n01984695,n01984695,n01984695,n01984695,n03000247,n03630383
n03133878\ILSVRC2012_val_00042723.JPEG,n02708093,n02708093,n02708093,n02708093,n02708093,n03483316,n03109150,n03133878
n04592741\ILSVRC2012_val_00024937.JPEG,n01806143,n01806143,n01806143,n01806143,n01806143,n01806143,n13040303,n04592741
n03495258\ILSVRC2012_val_00009425.JPEG,n02909870,n02909870,n02909870,n03950228,n01860187,n03457902,n03201208,n03495258
n03447721\ILSVRC2012_val_00035792.JPEG,n04074963,n02877765,n04074963,n04074963,n04074963,n04074963,n02101006,n03447721
n03041632\ILSVRC2012_val_00020998.JPEG,n01644373,n01644373,n01644373,n01644373,n03637318,n01986214,n03109150,n03041632
n07717410\ILSVRC2012_val_00014177.JPEG,n03888257,n02865351,n04404412,n03888257,n04404412,n03447447,n02102040,n07717410
n02009229\ILSVRC2012_val_00006107.JPEG,n02088364,n02088364,n02088364,n02088364,n02088364,n02088364,n04141076,n02009229
n02667093\ILSVRC2012_val_00028919.JPEG,n01622779,n07718747,n01622779,n07718747,n07718747,n03944341,n04040759,n02667093
n02105855\ILSVRC2012_val_00017961.JPEG,n02109525,n02692877,n02088238,n01883070,n02088238,n03095699,n04041544,n02105855
n02117135\ILSVRC2012_val_00023307.JPEG,n03785016,n03785016,n03785016,n03785016,n03785016,n03785016,n04070727,n02117135
n01775062\ILSVRC2012_val_00010225.JPEG,n02396427,n02396427,n02396427,n02396427,n02396427,n02396427,n13040303,n01775062
n03769881\ILSVRC2012_val_00030789.JPEG,n01950731,n01950731,n01950731,n01950731,n01950731,n01950731,n13040303,n03769881
n03494278\ILSVRC2012_val_00001030.JPEG,n04118538,n04456115,n04456115,n04456115,n04456115,n04332243,n01698640,n03494278
n03888257\ILSVRC2012_val_00010427.JPEG,n04005630,n04005630,n04005630,n04005630,n04005630,n04005630,n13040303,n03888257
n02100583\ILSVRC2012_val_00040937.JPEG,n02123045,n02095314,n02444819,n04311174,n02095314,n04311174,n13040303,n02100583
n03720891\ILSVRC2012_val_00009690.JPEG,n04505470,n04505470,n04505470,n04505470,n04505470,n02277742,n01847000,n03720891
n02834397\ILSVRC2012_val_00024919.JPEG,n01494475,n01494475,n01494475,n01494475,n01494475,n01494475,n03617480,n02834397
n02177972\ILSVRC2012_val_00025188.JPEG,n04429376,n04429376,n04429376,n04429376,n04429376,n04429376,n02111500,n02177972
n02009912\ILSVRC2012_val_00001891.JPEG,n02111129,n02486261,n02111129,n02111129,n02111129,n02100583,n04081281,n02009912
n02837789\ILSVRC2012_val_00033495.JPEG,n02268443,n01498041,n01498041,n01498041,n01498041,n02268443,n02701002,n02837789
n04465501\ILSVRC2012_val_00043459.JPEG,n03676483,n03676483,n03676483,n02006656,n02006656,n03532672,n07715103,n04465501
n02058221\ILSVRC2012_val_00026949.JPEG,n02395406,n02395406,n02395406,n02395406,n02395406,n02395406,n04604644,n02058221
n02281787\ILSVRC2012_val_00043407.JPEG,n12267677,n12267677,n12267677,n12267677,n12267677,n12267677,n02514041,n02281787
n04325704\ILSVRC2012_val_00007117.JPEG,n04479046,n04479046,n03930313,n03930313,n03930313,n03584829,n13040303,n04325704
n03478589\ILSVRC2012_val_00028045.JPEG,n03032252,n04019541,n04346328,n04019541,n04346328,n03666591,n10148035,n03478589
n03218198\ILSVRC2012_val_00044681.JPEG,n02879718,n02879718,n02879718,n02879718,n02879718,n02879718,n04070727,n03218198
n02091467\ILSVRC2012_val_00037676.JPEG,n02490219,n02490219,n02490219,n02490219,n02490219,n03447447,n04070727,n02091467
n02447366\ILSVRC2012_val_00031436.JPEG,n09399592,n09399592,n09399592,n09399592,n09399592,n04277352,n02102040,n02447366
n04456115\ILSVRC2012_val_00038362.JPEG,n04041544,n04041544,n04041544,n04041544,n04041544,n04041544,n04040759,n04456115
n01560419\ILSVRC2012_val_00001751.JPEG,n02109047,n02109047,n02109047,n02109047,n02109047,n02109047,n03000134,n01560419
n02094114\ILSVRC2012_val_00006035.JPEG,n02437616,n02437616,n02437616,n02437616,n02437616,n02437616,n13040303,n02094114
n02097658\ILSVRC2012_val_00022686.JPEG,n02325366,n02437616,n02363005,n02437616,n02437616,n02437616,n04070727,n02097658
n04456115\ILSVRC2012_val_00014965.JPEG,n04041544,n04041544,n04041544,n04041544,n04041544,n04041544,n04041544,n04456115
n03733281\ILSVRC2012_val_00039998.JPEG,n01910747,n01910747,n01910747,n01910747,n01910747,n02776631,n04041544,n03733281
n04456115\ILSVRC2012_val_00048645.JPEG,n01693334,n04041544,n02002556,n04041544,n04041544,n04041544,n02100735,n04456115
n02883205\ILSVRC2012_val_00003934.JPEG,n03014705,n03014705,n01664065,n01664065,n01664065,n03594734,n07715103,n02883205
n07579787\ILSVRC2012_val_00040373.JPEG,n04049303,n03929855,n04540053,n03535780,n04049303,n03535780,n04070727,n07579787
n07880968\ILSVRC2012_val_00001822.JPEG,n03188531,n03188531,n03188531,n03188531,n03188531,n03535780,n02701002,n07880968
n03838899\ILSVRC2012_val_00004486.JPEG,n03457902,n02823428,n03457902,n03457902,n03457902,n03457902,n03000134,n03838899
n03992509\ILSVRC2012_val_00046579.JPEG,n07716906,n07716906,n07716906,n07716906,n07716906,n07716906,n04070727,n03992509
n04458633\ILSVRC2012_val_00004942.JPEG,n07860988,n07860988,n07860988,n07860988,n07860988,n07860988,n04070727,n04458633
n02799071\ILSVRC2012_val_00020755.JPEG,n02013706,n02013706,n02013706,n02013706,n02013706,n02013706,n04040759,n02799071
n02113624\ILSVRC2012_val_00001448.JPEG,n02814533,n02814533,n02814533,n02930766,n02930766,n03100240,n13040303,n02113624
n02091635\ILSVRC2012_val_00002059.JPEG,n02099712,n02099712,n02099712,n02099712,n02099712,n02100877,n04041544,n02091635
n02281787\ILSVRC2012_val_00018935.JPEG,n12267677,n12267677,n12267677,n12267677,n12267677,n02132136,n04070727,n02281787
n02841315\ILSVRC2012_val_00002158.JPEG,n02536864,n02109961,n02536864,n01694178,n02536864,n03729826,n02708093,n02841315
n01496331\ILSVRC2012_val_00007569.JPEG,n02066245,n02066245,n02066245,n02066245,n02066245,n02066245,n03100240,n01496331
n02480495\ILSVRC2012_val_00022223.JPEG,n09332890,n09332890,n09332890,n09332890,n09332890,n09332890,n07730033,n02480495
n07742313\ILSVRC2012_val_00012279.JPEG,n02895154,n02895154,n02895154,n02895154,n02895154,n02895154,n02704792,n07742313
n02817516\ILSVRC2012_val_00004149.JPEG,n02056570,n02056570,n02056570,n02056570,n02056570,n02056570,n04270147,n02817516
n01806143\ILSVRC2012_val_00002383.JPEG,n02128385,n02128385,n02128385,n02128385,n02128385,n02128385,n10148035,n01806143
n03393912\ILSVRC2012_val_00046790.JPEG,n03992509,n03992509,n03992509,n03992509,n03992509,n03992509,n13040303,n03393912
n03127925\ILSVRC2012_val_00026364.JPEG,n03841143,n03841143,n03841143,n03841143,n03841143,n03841143,n07715103,n03127925
n07693725\ILSVRC2012_val_00047003.JPEG,n03958227,n03958227,n06794110,n06794110,n06794110,n03958227,n04004767,n07693725
n11939491\ILSVRC2012_val_00030744.JPEG,n04254777,n04254777,n04254777,n04254777,n04254777,n04254777,n04041544,n11939491
n02113186\ILSVRC2012_val_00047919.JPEG,n02701002,n02701002,n02701002,n02701002,n02701002,n02701002,n04070727,n02113186
n02111500\ILSVRC2012_val_00022990.JPEG,n02093428,n01877812,n01882714,n01882714,n02667093,n01882714,n02704792,n02111500
n03902125\ILSVRC2012_val_00049357.JPEG,n03089624,n03089624,n03089624,n03089624,n03089624,n03089624,n02101006,n03902125
n03272562\ILSVRC2012_val_00039148.JPEG,n02977058,n02977058,n02977058,n02977058,n02977058,n02977058,n04515003,n03272562
n02108422\ILSVRC2012_val_00011349.JPEG,n03673027,n03673027,n03673027,n03673027,n03673027,n03673027,n13040303,n02108422
n03763968\ILSVRC2012_val_00016793.JPEG,n01944390,n01944390,n01944390,n01944390,n01944390,n01944390,n04008634,n03763968
n02823428\ILSVRC2012_val_00002968.JPEG,n02058221,n02058221,n03710193,n02058221,n04542943,n01807496,n02701002,n02823428
n02895154\ILSVRC2012_val_00020007.JPEG,n01669191,n01669191,n03544143,n03544143,n03544143,n03544143,n02111500,n02895154
n07716358\ILSVRC2012_val_00012513.JPEG,n02865351,n02865351,n02865351,n02865351,n02865351,n02865351,n02701002,n07716358
n04310018\ILSVRC2012_val_00040994.JPEG,n03207743,n03207743,n03207743,n03207743,n03207743,n02123394,n13040303,n04310018
n03393912\ILSVRC2012_val_00036706.JPEG,n03992509,n03992509,n03992509,n03992509,n03992509,n02172182,n07715103,n03393912
n04118776\ILSVRC2012_val_00010180.JPEG,n04443257,n04443257,n04443257,n07693725,n04443257,n04443257,n13040303,n04118776
n03761084\ILSVRC2012_val_00036104.JPEG,n01943899,n01943899,n01943899,n01943899,n01943899,n04238763,n13040303,n03761084
n02488291\ILSVRC2012_val_00014947.JPEG,n02111889,n04509417,n03481172,n03481172,n03481172,n03777568,n02701002,n02488291
n03838899\ILSVRC2012_val_00024492.JPEG,n03457902,n03457902,n03457902,n03457902,n03457902,n03457902,n02102040,n03838899
n02860847\ILSVRC2012_val_00036614.JPEG,n02526121,n02526121,n02526121,n02526121,n02526121,n02526121,n02704792,n02860847
n04487081\ILSVRC2012_val_00038949.JPEG,n03764736,n03764736,n03764736,n03764736,n03764736,n03764736,n13040303,n04487081
n04243546\ILSVRC2012_val_00027578.JPEG,n13044778,n13044778,n01734418,n01734418,n13044778,n13044778,n04041544,n04243546
n13133613\ILSVRC2012_val_00000989.JPEG,n07831146,n07831146,n07831146,n07831146,n07831146,n07831146,n02708093,n13133613
n03781244\ILSVRC2012_val_00042508.JPEG,n04200800,n04200800,n04200800,n01807496,n02974003,n04442312,n02441942,n03781244
n02791124\ILSVRC2012_val_00011110.JPEG,n02006656,n02006656,n02006656,n02006656,n02006656,n02007558,n04049303,n02791124
n03733131\ILSVRC2012_val_00030564.JPEG,n02281787,n02281787,n02281787,n02281787,n02281787,n02281787,n04041544,n03733131
n13054560\ILSVRC2012_val_00045498.JPEG,n02107142,n03935335,n11879895,n04325704,n03935335,n03935335,n02101556,n13054560
n03791053\ILSVRC2012_val_00009285.JPEG,n03400231,n03400231,n03400231,n03400231,n03400231,n04517823,n03201208,n03791053
n04332243\ILSVRC2012_val_00001863.JPEG,n03775546,n03775546,n03775546,n03775546,n03775546,n01632458,n01847000,n04332243
n02114548\ILSVRC2012_val_00030270.JPEG,n03770679,n03770679,n03770679,n03770679,n03770679,n03670208,n04070727,n02114548
n03775546\ILSVRC2012_val_00013468.JPEG,n03297495,n03297495,n03297495,n03297495,n03297495,n03297495,n15075141,n03775546
